month;bridgeId;bridgeName;totalUSD;SA_Tier
2024-08;1;Polygon PoS Bridge;334431154,3;SA22
2024-08;4;Optimism Gateway;254434721,4;SA33
2024-08;32;Squid (Powered by Axelar);229941830,4;SA21
2024-08;39;rhino.fi;216962486,9;SA11
2024-08;16;Gnosis Bridge;205896977,5;SA22
2024-08;10;Celer cBridge;195011179,1;SA22
2024-08;27;Symbiosis;194739675,8;SA11
2024-08;60;Allbridge Core;130936782,9;SA22
2024-08;13;Hop;114960461,6;SA33
2024-08;28;Meson;110836330,4;SA11
2024-08;30;Mantle Bridge;93320817,7;SA33
2024-08;96;Chainlink CCIP;78496900,01;SA22
2024-08;59;Connext;75054992,43;SA33
2024-08;15;Core Bitcoin Bridge;74478565,12;SA22
2024-08;29;Base Bridge;73404918,63;SA33
2024-08;3;Avalanche Bridge;50132518,28;SA12
2024-08;50;Mode Network;42157137,72;SA33
2024-08;54;Nitro (by Router Protocol);29781396,05;SA22
2024-08;61;XSwap;23386150,65;SA11
2024-08;41;Wan Bridge;23100718,8;SA22
2024-08;37;Manta Pacific Bridge;21343533,27;SA33
2024-08;35;CrossCurve;12059012,15;SA22
2024-08;23;Polygon zkEVM Bridge;10593303,78;SA32
2024-08;18;Rainbow Bridge;9636061,764;SA31
2024-08;34;Satellite (Powered by Axelar);7284055,762;SA21
2024-09;2;Arbitrum Bridge;2210237471;SA33
2024-09;12;Stargate;1891033999;SA22
2024-09;51;Circle CCTP;1865442113;SA11
2024-09;58;Orbiter Finance;1712454650;SA11
2024-09;24;IBC;1570137575;SA31
2024-09;19;Across;1256360980;SA33
2024-09;9999;zkBridge;643927374,6;SA32
2024-09;20;deBridge;432900810,2;SA22
2024-09;1;Polygon PoS Bridge;405396182,4;SA22
2024-09;11;Synapse;340355020,8;SA22
2024-09;35;CrossCurve;316462498,4;SA22
2024-09;46;yBridge by xSync Network;306506198,4;SA22
2024-09;4;Optimism Gateway;247326281,2;SA33
2024-09;16;Gnosis Bridge;190380924,5;SA22
2024-09;32;Squid (Powered by Axelar);156153159,3;SA21
2024-09;10;Celer cBridge;135146762,2;SA22
2024-09;96;Chainlink CCIP;131517591,5;SA22
2024-09;27;Symbiosis;104512873,4;SA11
2024-09;39;rhino.fi;102198751,2;SA11
2024-09;60;Allbridge Core;90020452,72;SA22
2024-09;13;Hop;89600583,03;SA33
2024-09;29;Base Bridge;87775758,51;SA33
2024-09;30;Mantle Bridge;78653537,41;SA33
2024-09;15;Core Bitcoin Bridge;70945524,92;SA22
2024-09;59;Connext;44617750,22;SA33
2024-09;3;Avalanche Bridge;38087884,31;SA12
2024-09;41;Wan Bridge;33488864,49;SA22
2024-09;28;Meson;33421552,78;SA11
2024-09;54;Nitro (by Router Protocol);19978309,64;SA22
2024-09;26;ZKsync Era Bridge;16344891,92;SA32
2024-09;50;Mode Network;16061787,04;SA33
2024-09;23;Polygon zkEVM Bridge;15039335,88;SA32
2024-09;34;Satellite (Powered by Axelar);12891955,4;SA21
2024-09;37;Manta Pacific Bridge;10050230,6;SA33
2024-09;49;Garden;8548801,269;SA22
2024-10;12;Stargate;2948749114;SA22
2024-10;51;Circle CCTP;2876996935;SA11
2024-10;58;Orbiter Finance;2474099384;SA11
